niederösterreichischer Landesvizedom in Österreich ob der Enns,
niederösterreichischer Regierungskanzler,
niederösterreichischer Regierungspräsident,
niederösterreichischer Regimentsrat,
Nuntius,
Oberamtsrat,
Oberbereiter,
oberdeutscher Direktor des Geheimen Hausarchivs,
oberdeutscher Reichspfennigmeister,
Oberinspektor des Banco del Giro,
Oberkammergraf der oberungarischen Bergstädte,
Oberstdirektorialminister,
Oberster Böhmischer,
Oberster Böhmischer,
Oberster Hauptmann,
Oberster Hofkanzler,
Oberster Postmeister in den Vorlanden,
Oberster Präsident der Obersten Justizstelle,
Oberstforstmeister,
Obersthofmarschall,
Obersthofmeister,
Obersthofmeister Amalie Wilhelmines von Braunschweig-Lüneburg,
Obersthofmeister Annas von Innerösterreichischer,
Obersthofmeister Annas von Tirol,
Obersthofmeister Annas von Ungarn und Böhmen,
Obersthofmeister Bianca Maria,
Obersthofmeister der Erzherzöge,
Obersthofmeister des „Kinderhofstaats“ in Innsbruck,
Obersthofmeister Eleonoras,
Obersthofmeister Eleonoras d. J. Gonzaga-Nevers,
Obersthofmeister Eleonore Magdalenas,
Obersthofmeister Eleonore Magdalenas von Pfalz-Neuburg,
Obersthofmeister Elisabeth Christines von Braunschweig-Wolfenbüttel,
Obersthofmeister Erzherzog von ÖsterreichFerdinands,
Obersthofmeister Ferdinands,
Obersthofmeister Ferdinands II.,
Obersthofmeister Ferdinands (III.),
Obersthofmeister Ferdinands von Innerösterreich,
Obersthofmeisterin,
Obersthofmeisterin Amalie Wilhelmines von Braunschweig-Lüneburg,
Obersthofmeisterin Annas von Tirol,
Obersthofmeisterin Annas von Ungarn und Böhmen,
Obersthofmeisterin Bianca Maria Sforzas,
Obersthofmeisterin Eleonoras d. Ä. Gonzaga,
Obersthofmeisterin Eleonoras d. J. Gonzaga-Nevers,
Obersthofmeisterin Eleonore Magdalenas von Pfalz-Neuburg,
Obersthofmeisterin Elisabeth Christines von Braunschweig-Wolfenbüttel,
Obersthofmeisterin Margarita Teresas von Spanien,
Obersthofmeisterin Maria Annas von Spanien,
Obersthofmeisterin Maria Annas von Spanien (interimistisch),
Obersthofmeisterin Maria Josephas von Bayern,
Obersthofmeisterin Maria Leopoldines von Tirol,
Obersthofmeisterin Maria Ludovicas von Spanien,
Obersthofmeisterin Marias von Spanien,
Obersthofmeisterin Maria Theresias,
Obersthofmeisterin von Claudia Felicitas von Tirol,
Obersthofmeister Johann Karls und Ferdinands (III.),
Obersthofmeister Josephs II.,
Obersthofmeister Karl Josephs und Peter Leopolds (Leopolds II.),
Obersthofmeister Karls von Inner­österreich,
Obersthofmeister Maria Annas von Spanien,
Obersthofmeister Maria Josephas von Bayern,
Obersthofmeister Maria Leopoldines von Tirol,
Obersthofmeister Maria Ludovicas von Spanien,
Obersthofmeister Marias von Spanien,
Obersthofmeister Maximilians,
Obersthofmeister Maximilians (II.),
Obersthofmeister Rudolfs (II.),
Obersthofmeister von Franz (II.),
Obersthofmeister von Leopold,
Obersthofmeister von Leopold Ignaz (Leopold I.),
Obersthofmeister von Maximilian (II.) und Ferdinand,
Obersthofpostmeister,
Oberstjägermeister,
Oberstkämmerer,
Oberstkämmerer der Erzherzöge Maximilian und Ferdinand,
Oberstkanzler,
Oberstkriegskommissar,
Oberst-Land- und Hauszeugmeister,
Oberstpostmeister in Ungarn,
Oberststallmeister,
Obrist-Landund Hauszeugmeister bzw. Generalartilleriedirektor,
österreichischer Gouverneur in Bankibazar,
österreichischer Hofkanzler,
österreichischer Kanzler,
Österreich unter der Enns,
Palatin von Ungarn,
Papst,Kirche
pfälzischer Staatsmann,
Pfarrer,Kirche
Philosoph,
Plenipotentiar,
Polizei(ober)direktor,
Postmeister von Ofen,
Präfekt der Hofbibliothek,
Präses der Bücherzensurkommission,
Präsident der Böhmischen Kammer,
Präsident der Böhmischen Kammer des böhmischen Königs,
Präsident der Galizischen Hofdeputation,
Präsident der Hofdeputation,
Präsident der Hofrechenkammer,
Präsident der Münz- und Bergwesenshofkommission,
Präsident der Niederösterreichischen Kammer,
Präsident der niederösterreichischen Kammer in Bevollmächtigter Minister in Brüssel,
Präsident der niederösterreichischen Kammer in Graz,
Präsident der Oberösterreichischen Hofkammer,
Präsident der Oberösterreichischen Kammer,
Präsident der Obersten Justizstelle,
Präsident der Reichsvizekanzler,
Präsident der Sanitätshofdeputation,
Präsident der Schlesischen,
Präsident der Schlesischen Kammer,
Präsident der Studienhofkommission,
Präsident der Studienrevisionshofkommission,
Präsident der Ungarischen,
Präsident der Ungarischen Kammer,
Präsident der Universalbankalität,
Präsident der vereinigten Finanzhofstellen,
Präsident der Zipser Kammer/Administration,
Präsident des Höchsten Rates der Niederlande,
Präsident des Reichshofrats,
Präsident des Spanischen bzw. Italienischen Rates,
preußischer Diplomat,
Prinzipalkommissar,
Propst von Fünfkirchen,Kirche
Propst von Jossau,Kirche
Propst von Zwettl,Kirche
Rat der Böhmischen Hofkanzlei,
Rat der Schlesischen Kanzlei,
Rat der Steuerregulierungshofkommission,
Rat der Ungarischen Hofkanzlei,
Rat der Zipser Kammer/Administration,
Rat Karls V.,
